"winner_name","loser_name","surface","year","period"
"Cilic M.","Dimitrov G.","Hard",2014,"2014-16"
"Nishikori K.","Cilic M.","Hard",2014,"2014-16"
"Federer R.","Chardy J.","Hard",2014,"2014-16"
"Monfils G.","Gasquet R.","Hard",2014,"2014-16"
"Nadal R.","Monfils G.","Hard",2014,"2014-16"
"Johnson S.","Anderson K.","Hard",2014,"2014-16"
"Mannarino A.","Johnson S.","Hard",2014,"2014-16"
"Thiem D.","Sousa J.","Hard",2014,"2014-16"
"Anderson K.","Thiem D.","Hard",2014,"2014-16"
"Nishikori K.","Lajovic D.","Hard",2014,"2014-16"
"Simon G.","Cilic M.","Hard",2014,"2014-16"
"Dimitrov G.","Raonic M.","Hard",2014,"2014-16"
"Murray A.","Lopez F.","Hard",2014,"2014-16"
"Nadal R.","Monfils G.","Hard",2014,"2014-16"
"Djokovic N.","Fognini F.","Hard",2014,"2014-16"
"Nadal R.","Nishikori K.","Hard",2014,"2014-16"
"Wawrinka S.","Djokovic N.","Hard",2014,"2014-16"
"Nadal R.","Dimitrov G.","Hard",2014,"2014-16"
"Federer R.","Murray A.","Hard",2014,"2014-16"
"Nadal R.","Federer R.","Hard",2014,"2014-16"
"Wawrinka S.","Nadal R.","Hard",2014,"2014-16"
"Monfils G.","Sousa J.","Hard",2014,"2014-16"
"Monfils G.","Gasquet R.","Hard",2014,"2014-16"
"Fognini F.","Chardy J.","Clay",2014,"2014-16"
"Cilic M.","Lajovic D.","Hard",2014,"2014-16"
"Murray A.","Thiem D.","Hard",2014,"2014-16"
"Cilic M.","Murray A.","Hard",2014,"2014-16"
"Lopez F.","Mannarino A.","Hard",2014,"2014-16"
"Johnson S.","Lopez F.","Hard",2014,"2014-16"
"Anderson K.","Johnson S.","Hard",2014,"2014-16"
"Cilic M.","Isner J.","Hard",2014,"2014-16"
"Cilic M.","Anderson K.","Hard",2014,"2014-16"
"Nadal R.","Sousa J.","Clay",2014,"2014-16"
"Sousa J.","Mannarino A.","Hard",2014,"2014-16"
"Murray A.","Sousa J.","Hard",2014,"2014-16"
